0,1,10,11,2,3,4,5,7,8,9,Primary Contact City,Program Start Date,Program Title,Program Tuition Fee,Semester Description,day,level,semester,time,type,year
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Glen Head,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Glen Head,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Amityville,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Amityville,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Deer Park,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
Fundamentals of Drawing with Liz Fusco,11:30am-1:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,West Islip,2024-09-10,"['Fundamentals of Drawing with Liz Fusco ', ' Tuesdays 11:30am-1:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,11:30am-1:30pm,Visual Arts,2024
Intermediate Wheel Throwing with Jesus Antoshka,9:30am-12:30pm,,,2024,,,,Saturdays,Fall,9/14-10/19,Melville,2024-09-14,"['Intermediate Wheel Throwing with Jesus Antoshka ', ' Saturdays 9:30am-12:30pm  ', ' Fall 2024', ' 9/14-10/19 ']",448.0,Fall 2024,Saturday,Intermediate,Fall ,9:30am-12:30pm,Pottery,2024
The World of Watercolor with Ross Barbera,10am-1pm,,,2024,,,,Fri,Fall,9/13-10/18,Commack,2024-09-13,"['The World of Watercolor with Ross Barbera ', ' Fri 10am-1pm ', ' Fall 2024', ' 9/13-10/18 ']",430.0,Fall 2024,Friday,,Fall ,10am-1pm,Visual Arts,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Huntington,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Malverne,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
Wax Carving Intensive with Jen Salta,6-9pm,,,2024,-10/16,,,Wednesday,Fall,9/11,Deer Park,2024-09-11,"['Wax Carving Intensive with Jen Salta', ' Wednesday 6-9 pm ', ' Fall 2024', ' 9/11 - 10/16 ']",465.0,Fall 2024,Wednesday,,Fall ,6-9pm,Wax,2024
Introduction to Acrylic Painting with Rita Broughton,10am-12pm,,,2024,,,,Fri,Fall,9/13-10/18,Melville,2024-09-13,"['Introduction to Acrylic Painting with Rita Broughton ', ' Fri 10am-12pm', ' Fall 2024', ' 9/13-10/18']",430.0,Fall 2024,Friday,,Fall ,10am-12pm,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Dix Hills,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Beginners 101 Ceramics with Amy Tischler,6-9pm,,,2024,-10/15,,,Tues,Fall,9/10,Smithtown,2024-09-10,"['Beginners 101 Ceramics with Amy Tischler ', ' Tues 6-9 pm ', ' Fall 2024', ' 9/10 - 10/15 ']",448.0,Fall 2024,Tuesday,Beginner,Fall ,6-9pm,Pottery,2024
Wax Carving Intensive with Jen Salta,6-9pm,,,2024,-10/16,,,Wednesday,Fall,9/11,Yaphank,2024-09-11,"['Wax Carving Intensive with Jen Salta', ' Wednesday 6-9 pm ', ' Fall 2024', ' 9/11 - 10/16 ']",465.0,Fall 2024,Wednesday,,Fall ,6-9pm,Wax,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Huntington Station,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Huntington Station,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Wax Carving Intensive with Jen Salta,6-9pm,,,2024,-10/16,,,Wednesday,Fall,9/11,West Babylon,2024-09-11,"['Wax Carving Intensive with Jen Salta', ' Wednesday 6-9 pm ', ' Fall 2024', ' 9/11 - 10/16 ']",465.0,Fall 2024,Wednesday,,Fall ,6-9pm,Wax,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Melville,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,6-9pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Melville,2024-09-12,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Thursdays 6-9pm ', ' Fall 2024', ' 9/12-10/17 ']",327.0,Fall 2024,Thursday,,Fall ,6-9pm,Visual Arts,2024
